Date,Open,High,Low,Close,Adj Close,Volume
2015-01-21,1027.400024,1032.949951,1018.349976,1019.950012,991.141174,1685153
2015-01-22,1025.000000,1032.500000,1018.549988,1021.250000,992.404419,1617670
2015-01-23,1030.000000,1048.000000,1024.400024,1042.800049,1013.345825,2496978
2015-01-27,1043.000000,1077.750000,1040.900024,1074.050049,1043.713135,2490600
2015-01-28,1070.000000,1093.199951,1055.000000,1058.349976,1028.456421,2841235
2015-01-29,1075.000000,1100.599976,1061.000000,1095.000000,1064.071411,5141904
2015-01-30,1094.550049,1094.550049,1064.250000,1077.349976,1046.919800,2642604
2015-02-02,1068.500000,1093.000000,1052.349976,1081.599976,1051.049805,1427588
2015-02-03,1078.500000,1082.199951,1055.300049,1064.099976,1034.044067,2550172
2015-02-04,1063.000000,1080.800049,1057.250000,1067.699951,1037.542358,1549378
2015-02-05,1075.000000,1092.800049,1070.349976,1076.500000,1046.093750,2014787
2015-02-06,1077.000000,1078.949951,1050.050049,1053.500000,1023.743530,1725780
2015-02-09,1047.000000,1051.750000,1034.500000,1040.099976,1010.721985,1307974
2015-02-10,1030.000000,1062.300049,1030.000000,1054.449951,1024.666626,2318938
2015-02-11,1058.000000,1064.800049,1053.000000,1058.400024,1028.505127,1040397
2015-02-12,1065.099976,1081.900024,1052.699951,1076.000000,1045.607910,1381435
2015-02-13,1081.199951,1082.000000,1063.599976,1065.800049,1035.696167,1928625
2015-02-16,1075.800049,1085.000000,1062.500000,1067.550049,1037.396729,1847179
2015-02-18,1067.550049,1082.949951,1057.050049,1074.800049,1044.442017,1345423
2015-02-19,1074.000000,1084.900024,1063.800049,1079.800049,1049.300659,1126751
2015-02-20,1083.000000,1089.900024,1068.500000,1073.050049,1042.741455,1551506
2015-02-23,1077.099976,1081.550049,1062.000000,1067.500000,1037.347900,1395391
2015-02-24,1070.300049,1071.000000,1057.099976,1067.650024,1037.493896,1461572
2015-02-25,1070.000000,1074.800049,1050.000000,1052.449951,1022.723206,1162131
2015-02-26,1053.650024,1056.000000,1035.099976,1038.150024,1008.827026,3106736
2015-02-27,1045.449951,1058.550049,1045.449951,1054.000000,1024.229370,2565446
2015-03-02,1080.349976,1099.000000,1068.000000,1082.550049,1051.973022,3596308
2015-03-03,1086.449951,1092.000000,1077.050049,1083.349976,1052.750366,1507337
2015-03-04,1105.000000,1109.300049,1060.000000,1065.300049,1035.210327,3069406
2015-03-05,1065.000000,1090.000000,1062.500000,1085.099976,1054.450928,2425613
2015-03-09,1077.050049,1081.800049,1056.000000,1059.000000,1029.088135,1438952
2015-03-10,1062.000000,1062.250000,1045.000000,1052.550049,1022.820496,1283709
2015-03-11,1050.900024,1061.900024,1050.000000,1056.449951,1026.610229,1366384
2015-03-12,1060.099976,1063.900024,1051.099976,1054.599976,1024.812378,1882709
2015-03-13,1060.000000,1064.000000,1034.599976,1042.650024,1013.199951,1356695
2015-03-16,1045.000000,1057.900024,1042.500000,1051.550049,1021.848633,1337193
2015-03-17,1060.000000,1065.900024,1042.849976,1058.050049,1028.165039,1342326
2015-03-18,1060.150024,1071.900024,1053.199951,1063.550049,1033.509644,1287083
2015-03-19,1071.000000,1073.800049,1048.699951,1052.199951,1022.480225,1343393
